"","Table 2AUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"52","44","  Groceries","PS5143",32.301,31.938,31.666,31.485,31.666,32.211,32.392,32.029,32.211,31.938,31.666,31.848,32.12,32.392,32.301,32.301,32.574,32.936,33.299,33.027,33.027,32.755,32.846,32.936,33.299,33.39,33.481,33.753,34.297,34.933,35.114,34.933,34.842,34.933,34.933,35.296,36.021,36.112,35.931,35.931,35.658,35.931,36.384,36.203,36.294,35.931,35.931,35.568,35.931,36.384,36.475,36.475,36.838,37.019,37.382,37.201,36.929,36.657,36.747,37.201,37.564,38.108,38.018,37.655,38.018,38.38,38.925,38.743,39.106,39.106,39.469,41.556,42.464,44.006,45.367,44.913,46.637,48.724,47.091,53.442,50.267,49.178,48.815,49.994,51.991,52.898,52.354,51.174,51.083,50.63,53.896,57.798,56.89,59.068,60.973,60.52,59.975,58.796,57.072,57.798,57.616,57.888,59.431,59.975,59.884,59.884,58.796,58.342,57.798,56.89,56.618,57.344,57.888,58.523,58.796,56.89,57.072,56.346,56.255,57.616,57.709,58.443,59.665,58.769,59.095,56.894,57.709,57.79,57.301,58.28,59.339,58.361,59.095,60.562,61.458,63.578,63.904,65.126,65.289,64.23,64.963,65.86,66.104,67.898,69.365,71.484,70.914,71.077,70.261,69.691,69.935,70.587,70.587,70.995,72.544,71.892,71.077,70.669,71.077,69.772,70.751,71.321,74.744,77.679,77.923,77.76,78.086,77.516,77.108,76.619,78.005,76.782,76.538,76.538,77.597,77.842,77.353,76.701,76.049,76.945,77.597,78.331,77.027,78.249,79.391,79.798,77.76,76.782,76.293,75.804,75.478,76.538,75.537,76.009,76.845,78.812,78.592,78.972,77.693,78.797,79.684,81.11,78.837,80.337
"53","45","  Farm products","PS5153",30.934,30.444,30.094,29.464,30.444,30.934,31.004,29.954,29.674,29.324,29.115,29.884,29.884,30.514,30.794,30.794,31.214,30.864,31.284,30.584,30.934,30.514,31.074,31.144,31.564,31.634,32.054,31.914,33.384,33.594,33.454,32.824,32.684,32.474,33.524,33.804,33.944,34.224,34.434,33.454,33.384,33.454,34.014,32.544,33.664,32.334,32.054,32.124,32.614,34.154,33.874,33.874,34.154,34.783,34.014,33.944,33.174,33.384,33.664,34.783,35.343,36.183,35.903,35.693,36.673,37.163,38.423,38.493,38.633,37.653,38.563,41.152,43.182,45.211,48.221,48.151,51.09,54.66,52,64.038,60.189,56.549,55.22,56.269,60.889,61.728,59.209,55.919,54.31,50.67,54.31,56.829,54.87,56.339,56.409,55.15,53.89,52.42,51.3,53.26,55.29,55.779,58.019,57.879,59.069,59.139,57.459,58.089,57.739,57.179,55.919,57.809,57.739,58.929,58.999,56.899,57.529,55.919,55.01,57.459,57.936,58.348,58.583,59.17,56.174,53.529,52.002,50.239,50.709,51.003,54.47,55.175,56.174,56.174,57.701,62.108,60.463,60.463,59.17,58.876,59.464,60.404,61.756,61.403,61.756,62.578,63.636,64.811,66.221,67.632,72.979,70.805,71.157,71.686,70.628,71.686,70.041,72.215,71.392,69.982,71.275,70.922,75.623,79.266,81.499,82.321,82.204,82.909,83.967,82.38,81.792,81.969,80.382,80.735,80.5,78.561,76.034,74.918,74.271,72.332,73.978,74.448,74.33,73.919,74.741,75.564,75.211,72.509,69.688,68.983,69.218,70.099,70.831,73.295,74.267,76.254,76.576,78.255,80.793,85.793,88.152,88.548,89.237,85.252
"54","46","  Chemical & allied product","PS5163",23.364,23.456,23.548,23.639,23.639,23.548,23.548,23.548,23.548,23.823,23.823,23.823,23.914,23.914,23.914,24.006,24.006,23.914,23.823,23.823,23.731,23.731,23.731,23.731,23.823,23.823,23.731,23.456,23.456,23.548,23.639,23.823,23.823,23.639,23.731,23.731,23.731,23.639,23.548,23.731,23.823,23.823,24.006,23.914,23.914,24.006,24.006,23.914,24.097,24.097,24.189,24.097,24.097,24.189,24.281,24.189,24.281,24.281,24.006,23.914,24.006,24.006,23.823,24.006,24.006,24.006,24.006,23.914,23.914,23.823,23.823,23.823,23.914,24.097,24.097,24.281,24.281,24.372,24.464,24.556,24.739,25.014,25.014,25.105,25.655,26.113,28.862,30.969,32.71,34.818,36.833,39.765,41.323,43.064,44.988,46.087,46.546,47.828,49.203,49.111,49.478,49.02,48.836,49.111,49.386,49.569,49.936,50.119,50.669,51.31,51.677,51.768,51.86,51.86,52.043,52.501,52.685,52.776,52.868,52.593,52.695,52.777,53.025,53.272,53.355,53.355,53.437,53.685,53.767,53.85,54.097,54.592,54.427,54.592,54.509,54.509,54.509,54.592,54.674,54.592,54.757,55.334,55.581,55.334,55.416,55.746,56.159,56.653,57.395,58.138,59.21,60.034,61.024,61.436,62.261,63.086,64.57,65.56,66.632,68.033,68.363,69.023,69.93,70.095,70.178,70.59,70.837,71.497,73.971,74.548,74.631,77.105,76.775,77.022,77.517,77.929,78.259,78.506,78.506,78.754,78.259,78.424,79.331,79.496,80.321,80.403,79.743,79.826,79.661,79.743,79.826,80.073,79.131,78.564,78.721,79.226,79.679,79.72,79.757,79.786,79.603,80.409,79.934,79.671
"55","47","  Petroleum products","PS5173",17.768,18.034,18.212,18.034,18.301,18.301,18.301,18.478,18.478,17.945,17.768,17.59,17.412,17.59,17.59,17.768,17.768,18.301,18.123,17.856,17.856,17.59,17.59,17.412,17.412,17.59,18.034,18.212,18.212,18.389,18.389,18.212,18.034,18.034,18.034,18.034,17.856,17.856,17.856,17.856,18.301,18.034,18.212,18.389,18.389,18.389,18.656,19.633,19.633,19.456,19.278,19.011,19.456,19.456,19.633,19.633,19.633,19.456,19.278,19.278,19.1,19.1,19.278,19.278,19.456,19.722,19.722,19.989,20.166,20.166,20.344,20.344,20.344,21.588,22.032,22.298,22.743,23.276,23.72,23.72,23.897,24.43,25.497,27.54,30.294,34.203,37.49,39.178,40.866,42.287,43.708,44.419,44.241,44.508,43.442,43.442,44.153,43.886,44.153,44.419,44.863,46.018,47.262,49.039,49.572,50.016,50.194,50.194,49.749,49.749,49.216,48.772,48.772,49.305,50.549,51.26,51.793,51.97,52.148,52.592,52.898,53.533,54.405,55.04,55.674,55.753,55.753,55.753,55.833,56.309,56.705,56.864,56.943,56.626,56.388,56.705,56.784,57.26,57.578,57.815,58.371,59.243,60.195,61.067,62.177,63.129,64.874,68.284,71.298,75.818,80.894,86.128,90.887,94.376,97.628,100.325,105.162,111.269,117.058,120.865,120.865,121.738,122.769,123.165,123.72,123.879,125.306,128.875,135.379,142.437,149.971,153.381,149.971,147.989,145.689,145.054,144.34,143.627,143.23,142.992,144.182,142.992,139.106,132.999,129.193,132.841,137.599,138.075,135.299,134.982,135.537,134.03,129.161,124.301,120.358,117.39,118.804,121.988,122.161,123.292,123.14,123.109,121.475,120.517
"56","48","  Alcoholic beverages","PS5183",38.118,38.219,38.219,38.32,38.421,38.421,38.421,38.624,38.725,38.725,38.826,38.826,38.927,39.028,39.028,38.927,39.028,39.028,39.129,39.23,39.23,39.23,39.23,39.23,39.23,39.23,39.23,39.23,39.534,39.635,39.837,39.837,39.736,40.039,39.938,39.938,39.938,40.14,40.14,40.343,40.848,40.848,41.05,40.949,41.354,41.455,41.556,41.859,42.061,42.163,42.365,42.567,42.567,42.567,42.769,42.769,42.769,42.769,42.668,42.567,42.668,42.87,42.769,42.87,42.87,42.87,42.87,42.87,42.87,42.971,43.174,43.174,43.174,43.376,43.477,43.578,43.578,43.78,43.679,43.78,43.982,44.185,44.286,44.488,44.994,45.196,45.499,46.005,45.802,46.106,47.117,48.229,48.33,49.341,49.341,49.543,50.656,50.858,51.161,51.667,52.779,52.779,52.779,53.386,53.386,53.689,53.689,53.689,53.79,53.689,53.689,53.891,53.891,53.79,53.891,53.891,53.992,53.992,54.093,53.992,54.115,54.115,54.369,54.369,54.623,54.877,54.877,55.047,55.385,55.385,55.555,55.893,56.486,56.74,57.164,56.91,57.164,57.418,57.672,58.095,58.773,59.366,60.212,60.382,60.551,60.89,61.313,62.076,62.584,63.092,63.431,63.685,63.854,64.701,65.209,65.717,66.141,66.564,66.818,67.157,67.495,67.919,68.85,69.528,69.867,70.036,70.46,70.544,71.222,71.56,72.153,72.746,72.915,73.17,73.508,73.762,73.593,74.016,74.355,74.609,74.948,74.779,74.948,75.202,75.371,75.88,75.88,76.134,76.388,76.303,76.557,76.811,76.721,77.058,77.962,77.972,78.521,78.803,78.895,78.953,79.066,79.341,79.175,79.204
"57","49","  Other nondurable goods","PS5193",27.621,27.621,27.713,27.713,27.805,27.988,28.08,28.08,28.08,28.08,28.172,28.263,28.447,28.447,28.447,28.539,28.539,28.539,28.63,28.722,28.814,28.906,28.998,28.998,28.906,28.906,28.998,28.998,29.089,29.456,29.732,29.732,29.823,29.915,29.915,29.915,30.007,30.007,30.007,30.007,30.374,30.649,30.925,30.925,31.016,31.016,31.108,31.108,31.292,31.383,31.292,31.475,31.567,31.659,31.842,31.842,31.842,31.842,31.842,31.842,32.026,32.118,32.118,32.301,32.301,32.393,32.852,32.943,32.943,32.76,32.668,32.76,33.219,33.402,33.586,34.136,34.779,35.329,35.88,35.88,35.88,35.605,35.696,35.788,36.614,36.981,37.715,39.459,40.009,40.376,40.56,39.918,40.193,40.56,41.019,41.478,42.854,43.313,43.496,43.588,43.68,43.68,43.772,43.772,44.047,43.221,43.313,43.772,43.955,43.863,43.863,43.221,43.221,43.772,43.221,42.946,43.038,43.129,43.405,43.68,45.555,45.596,46.504,47.294,47.321,45.397,44.254,43.882,44.658,44.679,45.555,44.485,44.693,44.496,45.475,46.606,46.605,47.243,47.982,48.2,48.733,49.272,49.054,49.668,49.938,51.124,51.611,52.246,52.83,54.261,55.856,55.957,57.159,57.592,58.301,59.299,60.671,62.687,63.717,62.424,62.659,63.335,64.987,65.902,66.722,67.011,67.681,68.048,68.827,68.794,68.664,69.376,69.337,68.45,68.261,69.5,69.459,69.304,69.541,68.928,68.723,69.883,70.463,69.91,70.109,69.875,69.253,68.775,69.579,70.514,70.556,71.124,70.176,70.864,70.652,70.943,71.33,70.873,71.18,72.024,72.468,72.719,72.961,72.887
"58","50","Retail trade","PS5R3",30.247,30.235,30.265,30.264,30.341,30.473,30.567,30.702,30.752,30.848,30.949,30.989,31.178,31.249,31.335,31.411,31.543,31.57,31.66,31.79,31.937,32.072,32.183,32.225,32.353,32.441,32.61,32.731,32.78,32.915,32.987,33.067,33.179,33.304,33.452,33.554,33.758,33.886,33.911,34.073,34.177,34.205,34.276,34.362,34.511,34.659,34.826,34.961,35.039,35.112,35.213,35.307,35.395,35.564,35.61,35.647,35.557,35.608,35.65,35.826,35.736,35.88,35.907,35.927,36.06,36.073,36.206,36.306,36.514,36.503,36.594,36.756,36.924,37.184,37.518,37.848,38.086,38.301,38.348,38.93,38.99,39.279,39.69,40.038,40.46,40.987,41.515,41.824,42.279,42.573,42.838,43.36,43.823,44.185,44.473,44.722,44.836,45.014,45.177,45.286,45.493,45.817,46.305,46.548,46.635,46.882,47.089,47.374,47.456,47.46,47.494,47.621,47.857,47.994,48.216,48.412,48.704,48.99,49.06,49.202,49.405,49.792,50.008,50.246,50.478,50.68,50.834,50.963,51.026,51.288,51.577,51.872,52.065,52.226,52.509,52.918,53.375,53.765,54.09,54.384,54.65,55.057,55.425,55.757,56.158,56.7,57.251,57.873,58.437,58.972,59.52,59.924,60.4,60.758,61.187,61.751,62.589,63.197,63.987,64.422,64.773,65.087,65.55,66.145,66.759,67.137,67.632,68.036,68.582,69.355,69.81,70.064,70.321,70.557,70.924,71.278,71.614,71.825,72.066,72.274,72.66,72.813,72.838,72.673,73.107,73.736,74.009,73.999,74.03,74.228,74.292,74.291,73.965,73.965,74.121,74.556,74.829,75.02,75.251,75.462,75.629,75.802,75.915,76.068
"59","51","Retail less motor vehicle","PS5RX3",30.25,30.238,30.262,30.256,30.31,30.457,30.514,30.643,30.684,30.726,30.84,30.927,31.099,31.189,31.293,31.384,31.534,31.572,31.678,31.816,31.95,32.101,32.221,32.318,32.496,32.522,32.665,32.814,32.922,33.035,33.142,33.227,33.389,33.464,33.645,33.757,33.889,34.024,34.035,34.225,34.33,34.319,34.375,34.444,34.58,34.679,34.791,34.873,34.893,34.953,35.063,35.179,35.266,35.45,35.509,35.709,35.719,35.794,35.828,36.013,35.965,36.128,36.125,36.132,36.272,36.29,36.45,36.543,36.769,36.892,37.023,37.182,37.371,37.653,38.056,38.414,38.693,38.964,39.008,39.732,39.823,40.182,40.701,41.138,41.669,42.332,42.956,43.263,43.689,43.884,44.038,44.592,44.994,45.276,45.597,45.859,46.036,46.172,46.187,46.295,46.57,46.91,47.461,47.705,47.739,48.008,48.225,48.437,48.518,48.456,48.453,48.508,48.743,48.862,49.059,49.234,49.466,49.678,49.741,49.88,50.071,50.52,50.712,51.008,51.268,51.52,51.676,51.844,51.909,52.124,52.438,52.721,52.996,53.145,53.451,53.908,54.376,54.74,55.03,55.322,55.589,56.047,56.397,56.746,57.257,57.788,58.344,58.922,59.54,60.134,60.787,61.291,61.874,62.331,62.822,63.45,64.338,64.947,65.872,66.302,66.676,67.048,67.515,68.118,68.665,69.07,69.537,69.975,70.878,71.756,72.319,72.475,72.567,72.707,73.07,73.426,73.734,73.876,74.077,74.255,74.714,74.914,74.902,74.617,75.069,75.721,76.012,75.97,75.999,76.248,76.317,76.241,75.848,75.769,75.932,76.442,76.763,76.948,77.184,77.334,77.399,77.511,77.558,77.691
"60","52"," Durable goods","PS5RD3",33.482,33.497,33.517,33.564,33.697,33.772,33.993,34.148,34.261,34.504,34.557,34.482,34.708,34.75,34.827,34.891,34.982,35.008,35.089,35.214,35.439,35.576,35.685,35.671,35.726,36.032,36.295,36.251,36.091,36.172,36.119,36.156,36.131,36.394,36.449,36.487,36.981,37.023,37.071,37.138,37.25,37.387,37.514,37.638,37.825,38.084,38.452,38.708,38.987,39.127,39.224,39.267,39.358,39.487,39.612,39.263,38.912,38.852,38.931,39.086,38.839,38.878,38.98,39.031,39.129,39.184,39.279,39.434,39.544,39.236,39.248,39.383,39.458,39.685,39.898,40.164,40.281,40.311,40.35,40.469,40.536,40.601,40.784,40.832,40.887,40.922,41.223,41.631,42.108,42.657,43.266,43.673,44.274,44.788,45.016,45.218,45.228,45.571,46.152,46.353,46.476,46.651,46.875,47.121,47.392,47.545,47.75,48.237,48.469,48.752,49.011,49.278,49.457,49.644,50.008,50.238,50.697,51.141,51.327,51.548,51.789,51.943,52.214,52.329,52.497,52.583,52.751,52.829,52.908,53.212,53.423,53.782,53.983,54.166,54.351,54.652,55.026,55.407,55.789,56.152,56.438,56.811,57.223,57.534,57.604,58.081,58.497,59.138,59.505,59.785,60.053,60.219,60.475,60.616,60.937,61.361,61.972,62.59,63.054,63.568,63.902,64.219,64.652,65.256,66.034,66.298,66.826,67.146,67.549,67.973,68.094,68.657,69.404,69.924,70.305,70.696,71.047,71.493,71.838,72.138,72.536,72.651,72.824,73.063,73.505,73.9,74.095,74.103,74.121,74.265,74.264,74.454,74.588,74.799,74.879,75.035,75.04,75.242,75.445,75.679,75.996,76.283,76.664,76.846
"61","53","  Automotives","PS553",30.32,30.324,30.398,30.418,30.568,30.651,30.898,31.054,31.146,31.505,31.519,31.37,31.614,31.607,31.626,31.634,31.686,31.685,31.692,31.77,31.993,32.07,32.135,31.935,31.881,32.204,32.465,32.479,32.312,32.519,32.448,32.509,32.425,32.742,32.748,32.825,33.349,33.437,33.516,33.58,33.674,33.862,34.019,34.168,34.368,34.758,35.179,35.612,35.913,36.013,36.041,36.053,36.135,36.218,36.234,35.573,35.079,35.017,35.092,35.218,34.987,35.061,35.206,35.275,35.38,35.381,35.387,35.53,35.669,35.145,35.086,35.246,35.331,35.499,35.583,35.813,35.892,35.902,35.968,36.04,35.983,35.993,36.023,36.036,36.047,36.059,36.227,36.545,37.102,37.795,38.491,38.903,39.585,40.257,40.427,40.62,40.483,40.859,41.638,41.732,41.67,41.914,42.162,42.408,42.712,42.868,43.03,43.624,43.713,43.968,44.168,44.548,44.771,44.984,45.324,45.607,46.118,46.671,46.777,46.936,47.172,47.323,47.616,47.659,47.777,47.794,47.93,47.94,47.996,48.423,48.626,48.943,48.854,49.097,49.271,49.52,49.946,50.408,50.861,51.172,51.42,51.669,52.099,52.378,52.387,52.961,53.5,54.26,54.628,54.948,55.136,55.163,55.26,55.242,55.416,55.741,56.387,56.992,57.25,57.691,57.976,58.039,58.475,59.067,59.972,60.267,60.879,61.16,61.623,61.969,61.974,62.665,63.643,64.307,64.702,65.082,65.538,66.04,66.472,66.857,66.847,66.772,66.979,67.325,67.728,68.241,68.381,68.474,68.506,68.512,68.569,68.804,68.811,69.11,69.211,69.311,69.327,69.534,69.729,70.149,70.728,71.11,71.461,71.69
"62","54","   Motor vehicle dealers","PS55X3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.675,59.994,59.973,60.663,61.706,62.418,62.815,63.139,63.603,64.123,64.56,64.953,64.994,64.915,65.103,65.49,65.84,66.371,66.566,66.711,66.751,66.744,66.796,67.078,67.053,67.403,67.541,67.663,67.716,67.943,68.17,68.642,69.254,69.659,70.015,70.266
"63","55","   Auto & home supply stores","PS5533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.996,88.679,88.999,89.708,89.983,90.103,90.496,91.589,91.973,92.246,92.583,92.981,92.325,92.299,92.754,92.552,93.634,93.962,93.475,92.941,92.917,93.062,93.194,92.805,93.211,92.933,92.585,92.45,91.979,91.952,91.702,91.522,91.772,91.841,92.106,92.039
"64","56","  Lumber & building stores","PS523",25.944,25.945,25.908,25.937,26.015,26.165,26.322,26.522,26.686,26.687,26.737,26.784,26.936,27.109,27.288,27.495,27.667,27.75,28.001,28.164,28.382,28.677,28.93,29.436,29.762,30.149,30.467,29.963,29.553,29.232,29.021,28.934,28.928,29.12,29.3,29.211,29.949,29.731,29.54,29.732,29.886,29.906,29.96,30.102,30.233,30.298,30.563,30.511,30.699,30.953,31.246,31.253,31.34,31.585,32.044,32.31,32.213,32.031,32.147,32.379,31.827,31.836,31.804,31.824,31.831,32.096,32.476,32.793,32.875,32.891,33.072,33.149,33.211,33.762,34.472,34.885,35.102,35.037,34.887,35.14,35.515,35.643,36.35,36.374,36.33,36.153,36.679,37.241,37.38,37.427,37.757,37.887,38.061,37.981,38.196,38.296,38.357,38.673,38.866,39.317,39.95,40.031,40.166,40.346,40.494,40.733,40.986,41.412,42.071,42.391,42.968,42.943,42.909,42.979,43.553,43.815,44.33,44.641,45.063,45.485,45.609,45.786,46.131,46.459,46.704,46.855,47.072,47.154,47.326,47.502,47.649,47.943,48.325,48.409,48.514,48.849,48.926,49.037,49.206,49.716,50.037,50.613,50.971,51.386,51.56,51.793,51.895,52.329,52.765,52.942,53.306,53.695,54.249,54.494,54.881,55.469,55.774,56.206,56.698,57.43,57.703,58.176,58.806,59.37,59.918,60.154,60.405,60.764,60.98,61.539,61.876,62.156,62.667,62.979,63.308,63.536,63.512,63.89,63.984,64.028,64.737,65.232,65.563,65.594,66.055,66.204,66.46,66.465,66.391,66.439,66.443,66.59,66.848,66.846,66.671,66.916,67.109,67.476,67.537,67.301,67.172,67.303,67.792,67.881
"65","57","  Furniture & furnishings","PS573",60.106,60.18,59.894,59.969,60.042,60.021,60.192,60.293,60.44,60.473,60.68,60.754,61.084,61.195,61.461,61.546,61.649,61.789,61.826,62.066,62.186,62.3,62.54,62.586,62.771,62.929,63.211,63.376,63.554,63.515,63.844,63.897,64.137,64.241,64.295,64.273,64.436,64.562,64.822,64.875,64.905,64.958,65.026,64.983,65.158,65.197,65.548,65.594,65.689,65.796,65.864,65.993,66.048,66.228,66.383,66.583,66.473,66.518,66.466,66.616,66.704,66.567,66.766,66.741,66.952,66.851,66.98,66.93,66.896,67.14,67.156,67.238,67.285,67.344,67.529,67.618,67.837,68.103,68.277,68.401,68.642,68.876,69.076,69.27,69.664,70.08,70.596,71.203,71.825,72.511,73.203,73.986,74.708,75.372,75.957,76.352,76.63,76.947,77.243,77.664,78.018,77.983,78.122,78.531,78.889,79.065,79.38,79.498,79.863,80.205,80.515,80.6,80.75,80.929,81.281,81.123,81.279,81.417,81.799,82.076,82.337,82.406,82.528,82.768,82.934,83.242,83.451,83.859,83.891,83.826,84.147,84.691,86.649,86.794,87.047,87.507,87.998,88.439,88.695,89.186,89.704,90.493,90.895,91.203,91.235,91.603,91.818,92.173,92.433,92.583,92.873,93.336,93.612,94.105,94.763,95.288,95.948,96.515,97.191,97.6,98.031,98.677,99.103,99.665,100.333,100.505,100.9,101.29,101.689,102.664,102.903,103.301,103.732,104.133,104.825,105.307,105.738,105.99,106.396,106.634,109.16,109.616,109.743,109.846,110.512,110.68,110.915,110.639,110.704,111.357,110.996,111.103,111.69,111.589,111.69,112.112,111.67,111.733,112.121,111.842,111.657,111.894,112.202,112.4
"66","58","  Other durable goods","PS59X3",37.044,37.084,37.117,37.347,37.469,37.4,37.564,37.592,37.698,37.753,37.92,38.002,38.079,38.148,38.234,38.375,38.529,38.525,38.782,39.01,39.276,39.52,39.492,39.758,39.897,39.957,40.029,40.307,40.419,40.501,40.587,40.677,40.809,40.892,41.035,41.099,41.161,41.324,41.442,41.267,41.443,41.514,41.631,41.645,41.818,41.855,42.069,42.105,42.351,42.445,42.528,42.736,42.848,42.973,43.077,43.127,43.148,43.217,43.327,43.488,43.552,43.573,43.544,43.598,43.699,43.81,43.9,43.959,44.032,44.146,44.321,44.378,44.413,44.495,44.623,44.916,44.977,45.104,45.17,45.348,45.494,45.61,45.814,45.984,46.18,46.414,46.848,47.27,47.649,48.022,48.369,48.817,49.422,49.814,50.079,50.321,50.825,51.029,51.254,51.456,51.63,51.697,51.943,52.123,52.284,52.244,52.498,52.689,52.951,53.249,53.27,53.435,53.685,53.852,53.968,54.091,54.336,54.486,54.563,54.748,55.113,55.265,55.348,55.421,55.728,55.959,56.162,56.397,56.461,56.437,56.667,57.176,57.439,57.4,57.696,58.06,58.441,58.675,58.993,59.251,59.469,59.833,60.169,60.448,60.753,61.04,61.32,61.705,61.986,62.279,62.802,63.101,63.701,64.245,64.928,65.455,66.276,67.235,68.482,69.085,69.645,70.635,70.727,71.432,71.989,72.188,72.796,73.149,73.54,73.658,73.931,74.354,74.54,74.752,74.853,75.402,75.659,76.06,76.281,76.551,76.804,77.012,76.851,76.943,77.317,77.621,77.931,77.758,77.81,78.376,78.316,78.371,78.598,78.911,79.214,79.284,79.328,79.337,79.638,79.985,79.996,79.938,80.338,80.35
"67","59"," Nondurable goods","PS5RN3",28.655,28.633,28.666,28.648,28.701,28.854,28.898,29.024,29.049,29.088,29.205,29.289,29.462,29.544,29.632,29.711,29.859,29.886,29.979,30.11,30.224,30.356,30.467,30.532,30.689,30.684,30.814,31.002,31.138,31.292,31.416,31.512,31.68,31.747,31.931,32.06,32.145,32.305,32.32,32.519,32.618,32.601,32.649,32.719,32.85,32.954,33.044,33.131,33.128,33.17,33.27,33.382,33.469,33.65,33.665,33.861,33.88,33.978,34.005,34.189,34.173,34.363,34.357,34.363,34.509,34.503,34.65,34.725,34.977,35.102,35.228,35.401,35.607,35.88,36.274,36.633,36.928,37.232,37.285,38.09,38.145,38.537,39.06,39.551,40.151,40.909,41.545,41.805,42.249,42.421,42.521,43.098,43.493,43.786,44.1,44.367,44.527,44.631,44.613,44.679,44.92,45.308,45.915,46.156,46.16,46.449,46.659,46.85,46.864,46.739,46.666,46.724,46.989,47.102,47.258,47.438,47.648,47.859,47.874,47.976,48.157,48.655,48.842,49.141,49.403,49.661,49.809,49.962,50.016,50.257,50.584,50.848,51.04,51.192,51.522,51.985,52.486,52.878,53.175,53.431,53.688,54.111,54.455,54.796,55.369,55.942,56.563,57.169,57.834,58.498,59.19,59.714,60.302,60.765,61.246,61.875,62.82,63.42,64.363,64.762,65.12,65.431,65.906,66.498,67.034,67.465,67.943,68.388,69.003,69.942,70.557,70.661,70.69,70.795,71.154,71.491,71.816,71.92,72.112,72.282,72.659,72.828,72.784,72.435,72.865,73.6,73.908,73.889,73.924,74.148,74.245,74.149,73.605,73.509,73.701,74.272,74.675,74.859,75.104,75.302,75.396,75.512,75.487,75.624
